 Haemophilus ducreyi,B03.440.450.600.450.125
 Urinary Tract Infections,C01.539.895
 Arthroscopy,E01.370.388.250.070
 Neurosciences,H01.158.610
 Membrane Fusion,G06.590.875.755
 Dietary Supplements,G07.203.300.456
Prokaryotic Cells,A11.760
 Idolax,@213021
 Incubators,E07.325.569
 Erotica,L01.178.362
 Valine,D08.811.682.664.500.924
Social Conditions,I01.880.853.450
 Influenza in Birds,C02.782.620.375
 Pituitary Gland,A06.407.747.750
 linalool,@38533
 Bacteroides,B03.440.425.410.400
 Daucus carota,B01.650.940.800.575.100.075.288
 Pediatric Obesity,C18.654.726.500.720
 Delivery of Health Care,N04.590.374.142
 Night Vision,F02.830.816.964.249
 Dairy Products,G07.203.300.350
 Cell Size,G04.670.160
 Erythema Nodosum,C17.800.174.600.375
 Cancer Vaccines,D20.215.894.200
 Coinfection,C01.539.218
 Inuits,M01.686.508.150.675
 Nitrogen Fixation,G02.111.087.070.630
 Liberia,Z01.058.290.190.425
 Glutathione Peroxidase,D08.811.682.732.500
 Amino Acid Sequence,L01.313.500.750.300.188.400.300.750
 Population Groups,M01.686.508
 Saccharin,D02.886.675.687
 Culicidae,B01.050.500.131.617.289.275
 Amnesia,C10.597.606.525.100.075
 Ventilation,E02.041.625.591
 Occupations,H02.010
Oral Health,N01.400.535
 Cell Division,D08.811.464.938.750.092.999
 Doxorubicin,D02.455.426.559.847.562.050.200.175.200
 Ferrets,B01.050.150.900.649.147.550.350
 Rabbits,B04.280.210.600.250
 Back,F01.145.209.719
Intuition,F02.463.188.675
 Satiation,F02.830.749
 Immunosuppressive Agents,D007166
 Ginkgo biloba,B01.650.940.800.575.400.300
 Heart Valves,A07.541.510
 Sambucus nigra,B01.650.940.800.575.100.180.500.500
 Heuristics,L01.224.050.375.095
 Biophysics,H01.158.344
 Medicine Chests,E07.546
 Aptitude,F04.711.141
 enfuvirtide,@219638
 Household Articles,J01.494
 Premature Birth,C13.703.420.491.500
 Ether,D12.776.157.530.400.600.900.249
 Naphazoline,D03.383.129.308.585
Patient Safety,N06.850.135.060.075.399
Food Hypersensitivity,C20.543.480.370
 Ephedra sinica,B01.650.940.800.575.400.344.222.500
 rosmarinic acid,B01.650.940.800.575.100.583.520.455
 Acrylic Resins,D05.750.716.822.111
 Adolescent,C18.654.726.500.720
 Gynecomastia,C17.800.090.875
 Tetracyclines,D02.455.426.559.847.562.900
 Environmental Microbiology,H01.158.273.540.274
 Endoscopy,E01.370.388.250.630
 Nanoparticles,D05.500.135
Lung,E02.041.625.657
 Tin,D01.935
 Suriname,Z01.107.757.833
 Forgiveness,F01.470.383
 Lactobacillus casei,B03.353.750.450.475.225
 Dentin,D27.505.696.663.850.014.640
 Accidental Falls,N06.850.135.122
Interferon Inducers,D007369
 Porifera,B01.050.500.802
 Virtues,F01.829.500.840
 Water Movements,G16.500.240.960
 Amines,D12.776.543.750.069
Breast Feeding,F01.145.407.199
 Measles,D20.215.894.815.500
 Dental Plaque,E05.318.308.980.438.300.300
 Swallows,B01.050.150.900.248.620.750.725
 Threonine,D08.811.913.696.620.682.700.145
 Vaginal Discharge,C13.351.500.894.700
 Treponema pallidum,B03.440.425.410.711.795.840
 Zoonoses,C01.908
Eagles,B01.050.150.900.248.815.350.200
 sodium laureth sulfate,@190120
 Perciformes,B01.050.150.900.493.602
Physical Examination,E01.370.600
 Social Security,I01.409.418.750.999
Dyspepsia,C23.888.821.236
Smartphone,L01.178.847.698.300.250
 Triiodobenzoic Acids,D02.241.223.100.400.880
 Carbamates,D02.241.081.251.583
 Dermatologic Agents,D003879
 Osmosis,G01.154.100.600
 Ethnobotany,H01.158.273.118.299
 Antifungal Agents,D000935
 Forearm,C26.088.268
 Splenomegaly,C23.300.775.750
 Butterflies,B01.050.500.131.617.561.200
 DNA Repair,G02.111.087.219.700
 Volleyball,I03.450.642.845.932
 Beclomethasone,D04.808.745.432.769.125
 Bioreactors,E07.115
 Platelet Transfusion,E02.095.135.140.650
 Lung Volume Measurements,E01.370.386.700.485
 Amino Acids,G02.111.087.019.055
 Amikacin,D08.811.913.696.620.475
 Family,D12.644.276.382
 Papanicolaou Test,E01.370.225.500.384.100.422
 Lotus,B01.650.940.800.575.100.776.500
 Azospirillum,B03.440.400.425.708.100.510
 Preparation H,@35665
 pyrachlostrobin,@131932
 Chlorophyta,B01.650.940.150
 Taraxacum,B01.650.940.800.575.100.100.895
Rubus,B01.650.940.800.575.100.842.500.764
 Fluid Therapy,E02.319.360
 Euthanasia,E02.760.905.199.249.750
 Mineral Waters,D01.045.250.875.600.500
 Cultured Milk Products,G07.203.100.700.124
 Nuclear Weapons,J01.637.870.175.500
 Constriction,G09.772.770.755.700.080
 Humidifiers,E07.451
 Cyclopropanes,D02.455.426.392.368.533
 DNA Viruses,B04.280
Esophageal Achalasia,C06.405.117.119.500.432
 Feeding Behavior,F01.145.113.547
Ambulances,J01.937.285.100.100
 Norovirus,B04.820.095.550
 United States Department of Agriculture,I01.409.418.750.400
 Privacy,I01.880.604.473.352.500.320
 Bacterial Physiological Phenomena,G06.099
 Endosomes,A11.284.430.214.190.875.190.880.337
 Apocrine Glands,A10.336.899.206
 Synthetic Biology,H01.158.273.904
 Financial Statements,N03.219.463.030.140
 Hepatitis C,C02.440.440.120
 Hepatitis B,C02.256.430.400.100
 Hepatitis A,D12.776.124.486.485.114.254.450.251
 Abdominal Muscles,C16.131.077.745
 Bolivia,Z01.107.757.136
 Hepatitis E,B04.820.340
 Vesicular stomatitis Indiana virus,B04.820.455.750.900.900
 Exploratory Behavior,F01.145.387
 Genetic Background,G05.346
 Nerve Endings,A08.675.542.145.750
 Hydrogels,D20.280.320.375
 Polyethylene Glycols,D02.033.455.250.700
 Griseofulvin,D03.438.127.275
Criminals,M01.142
Eye,D26.776.708.645.500
 First Aid,E02.365.305
Organizations,N03.540.162
 Bioterrorism,D20.215.226
 Tropical Medicine,H02.403.879
 topiramate,@50346
Raphanus,B01.650.940.800.575.100.157.711
 Mustard Plant,B01.650.940.800.575.100.157.200.500
 Psychiatry,K01.517.584.500
Headache Disorders,C10.228.140.546.699
 Raccoons,B01.050.150.900.649.147.650.700
 Vacuum,E02.309.610
 Tryptophan,D08.811.913.477.700.850
 Fluorouracil,D03.383.742.698.875.404.850
 Cuscuta,B01.650.940.800.575.100.306
 Dental Calculus,C07.793.208.250
Hip,E01.370.600.115.100.960
 Vermont,Z01.107.567.875.550.880
Chronic Pain,C10.597.617.196
 Weaning,E02.041.625.950
 Tenofovir,@202404
 Epoxy Resins,D05.750.716.822.461
 Chloroflexus,B03.275.150
 Ascaris lumbricoides,B01.050.500.500.294.700.100.100.108.425
Pharyngitis,C07.550.781
 Glycerides,D10.351
 Amoxicillin,D02.065.589.099.374.160.060
 Hazardous Substances,D015386
 Chemokine CCL2,D12.644.276.374.200.110.990.600
 Poly I,D13.695.578.550.560.600
 Skin Cream,E02.547.800.500
 Gene Library,G05.360.325
 Investments,N03.219.702
Burns,C10.900.300.284.250.250
 Trachea,C05.182.895.500
 Desiccation,E05.196.335
 Fermentation,G02.111.087.160.249
 Vulva,C04.588.945.418.968
 Eyebrows,A01.456.505.420.338
 Calcium Hydroxide,D01.045.250.313
 Wetlands,G16.500.275.157.812
 Bloodletting,E02.800.558.500
 Office Visits,N04.452.758.635
 Morals,F01.829.500
 Fertilization,G05.355.090.403.590
 Aphids,B01.050.500.131.617.412.165
 Reproductive Rights,I01.880.604.473.675
 Biological Evolution,G05.355.044
 Retroviridae,D12.776.624.664.520.750
 Glanders,C01.252.400.170.400
 icodextrin,@217487
 Honey,G07.203.300.581
Metaphor,K01.400.899.500
 Personal Protective Equipment,E07.662
 Paraguay,Z01.107.757.656
 Coitus,E02.875.194.250
 Channel Islands,Z01.542.363.161
Biological Warfare,D20.215.226
 Fixatives,D005404
 Clavulanic Acid,D02.065.589.099.374.160.060
 Whiplash Injuries,C26.700.500
 Arteries,C14.240.850.976
Salmonella Infections,C01.252.400.310.821.706
 Baculoviridae,B04.280.065
 Dioscorea,B01.650.940.800.575.100.325.500
 Sneezing,C23.888.852.889
India,D25.720.099.750
 Sutures,E07.858.690.820
 Physical Examination,E01.370.600
 United States National Aeronautics and Space Administration,I01.409.418.750.984
 Capsid Proteins,D12.776.964.970.600.550
 Burkholderia pseudomallei,B03.440.400.425.251.100.600
Clustered Regularly Interspaced Short Palindromic Repeats,G02.111.570.080.708.800.325.500
 Disease Outbreaks,N06.850.290
 Computer Security,L01.209
 Gestational Age,M01.060.703.520.460.560
 Accounts Payable and Receivable,N03.219.463.030.080
Pectins,D05.750.078.738
 Contusions,C10.292.262.531
 Calendula,B01.650.940.800.575.100.100.141
 Latin America,Z01.107.424
 Liver Extracts,D20.777.351
 Resin Cements,E06.095.850
 Fomites,N06.850.295.300
 Genetic Variation,G05.365
Gastrostomy,E04.210.496
 Cysts,C10.500.507.500.750
Calcium Oxalate,D02.241.081.337.593.750.500
Plant Leaves,A18.024.812
 Electromagnetic Radiation,G01.358.500.505
 Pylorus,A03.556.875.875.799
Menthol,D02.033.415.510.500.605
 Atractylodes,B01.650.940.800.575.100.100.126
 Bone Plates,E07.695.370.374
 Lakes,G01.311.355
 Gases,D013665
 Cicatrix,A10.165.450.300.125
 Guatemala,Z01.107.169.454
 fluorophosphate,D02.705.429.750.249
 Fertilization in Vitro,E02.875.800.750
 Muscle Contraction,G11.427.590.540
 Hoof and Claw,A13.491
 Africa South of the Sahara,Z01.058.290
 Jet Lag Syndrome,C10.281.440
 Ear,C16.131.077.239
 Esophagus,C06.405.117.119.500
 Nerve Fibers,A08.675.542.756
 Space Flight,J01.937.285.850
 Postal Service,I01.451.617
 Finland,Z01.542.816.186
Mass Media,L01.178.590
 Menthol,D02.033.415.510.500.605
 Hyperpigmentation,C17.800.621.430
 Tomography,E01.370.350.350.810.800.500
 Temporal Bone,A02.835.232.781.885
 Disaster Planning,N06.230.100.035
 Pregnancy Complications,C03.718
 Neurosyphilis,C01.252.400.840.744.456.778
 Groundwater,G01.311.355
 Ozone,G16.500.240.547
 Guyana,Z01.107.757.488
 Endometrial Neoplasms,C04.588.945.418.948.585
 Malus,B01.650.940.800.575.100.842.500.444
 Community Health Centers,N02.278.035.128
Glucose,D09.301.662
 Snails,B01.050.500.644.400.275
 Adenocarcinoma,C04.557.470.200.025.014
Hair Dyes,D27.720.233.837
 Fluoridation,E06.761.382
 Pyrroles,D03.383.129.578
 Pilot Projects,E05.318.760.750
 Enterococcus,B03.353.750.250.250.300
Whales,B01.050.150.900.649.189.267.920
Work,I03.946.449
 Pichia,B01.300.107.795.700
 Porphyromonas gingivalis,B03.140.094.625.515
 Armed Conflicts,I01.880.735.950.250
 Schizophrenia,F03.700
 Staining and Labeling,E01.370.225.500.620.670
 Hypothyroidism,C19.874.482
 Acupuncture Therapy,E02.190.044
 Trust,F01.829.401.825
 camphene,@47710
 Happiness,F01.470.516
 Fantasy,F01.393.351
 nickel monoxide,@174551
 Cilia,A08.675.650.850.625.670.049
 Aminopyridines,D02.092.080
 Gravitation,G01.595.060.535
 Divorce,F01.829.263.315.500.300
 Wakefulness,D064690
 Oklahoma,Z01.107.567.875.510.550
 New Caledonia,Z01.639.760.590.620
Vaccines,G12.450.418
 Gorilla gorilla,B01.050.150.900.649.801.400.112.400.375
 Flavoring Agents,D005421
 Medial Tibial Stress Syndrome,C05.651.426
 Arboviruses,B04.820.250.350
 Listeria monocytogenes,C01.252.200.500.500
 Portion Size,G07.203.650.240.835
 Antipyrine,D03.383.129.539.850.088
 Refrigeration,E03.155.441
 Host Specificity,G06.590.470.380
 Nitriles,D02.626
 Staphylococcaceae,B03.300.390.400.800
 Pyrus,B01.650.940.800.575.100.842.500.699
Universities,I02.783.830
 Aquatic Organisms,B05.080
 Phytoplankton,B05.080.500.600
Membrane Glycoproteins,D12.776.395.550.550
 Sarcina,B03.353.625.813
 South Africa,Z01.058.290.175.735
 Public Sector,I01.795
 Smoking Cessation,J01.637.847
 Marketing,J01.219.687
 Blood Volume,E01.370.370.150
 Overweight,C23.888.144.699
 Eriobotrya,B01.650.940.800.575.100.842.500.222
 Mimosa,B01.650.940.800.575.100.401.596
 Alginates,D09.698.068
 Glycerol,D08.811.913.696.900.074
 Weyers acrofacial dysostosis,@196942
 Massachusetts,Z01.107.567.875.550.510
 Vulnerable Populations,M01.965
 Rhizome,A18.024.937.750
 Social Support,I01.880.853.500.600
 Alkalosis,C04.557.465.625.650.240.847
 Nobel Prize,K01.150.567
 Dreams,F01.393.351
 Herpes Genitalis,C02.256.466.382.290
 Airway Obstruction,C08.460.525
 Ureaplasma Infections,C01.252.400.610.850
Paintings,E01.370.225.500.620.670.325.350.125
Daucus carota,B01.650.940.800.575.100.075.288
 benzonatate,@162717
 Coriandrum,B01.650.940.800.575.100.075.211
 Food Handling,J01.576.423.200
 Psychological Warfare,I01.880.735.950.500.711
 Loligo,B01.050.500.644.116.150.500
 Ferula,B01.650.940.800.575.100.075.300
 Pseudofolliculitis Barbae,@196444
 Reproduction,E05.318.308.985.525.080
 Phytolacca americana,B01.650.940.800.575.100.809.500.500
 Dizziness,C09.218.568.900.883
Human Rights,I01.880.735.384
 Sports Medicine,H02.403.830.750
 Rubella Vaccine,D20.215.894.815.500
Posture,G11.427.695
 Neck Injuries,C26.700
 Esophageal Neoplasms,C04.588.274.476.205
Body Weights and Measures,E01.370.600.115.100
 Musa,B01.650.940.800.575.100.975.555.500
 Snake Bites,C25.723.127.442
 Hydrogen,J01.637.870.175.500
 Sertraline,D02.092.705.800
 Vitamin B 6,C18.654.521.500.133.699.901
 Middle Aged,M01.060.116.630
 Montenegro,Z01.542.248.609
 RNA Viruses,B04.820
 Treponema,B03.440.425.410.711.795.700
 Exercise Therapy,E02.779.483
 Solutions,D057947
 Politics,I01.738
 Indoleacetic Acids,D03.066.288
 Isoleucine,D12.644.456.073.041.815
 Trematoda,B01.050.500.500.736.715
 Adaptive Immunity,G12.450.050
 Leukorrhea,C13.351.500.894.700.500
Communism,I01.696.232
 Klebsiella,B03.440.450.425.425.580
 Drug Approval,E05.337.300
 Hearing Loss,C09.218.458.341.186.500
 Erythrocyte Count,E01.370.225.500.195.107.330
 Tanacetum parthenium,B01.650.940.800.575.100.100.874.500
 Gills,A13.421
 Carbon Dioxide,E07.632.490.367
 Appalachian Region,Z01.107.567.875.075
 Plasmids,G05.360.600.550
 Cell Membrane,A11.284.295.588.500
 Serratia marcescens,B03.440.450.425.814.664
 Depsides,D02.241.223.100.300.100
 Tropism,G06.590.875.712
 Cell Enlargement,G04.299.233.500
 Hematuria,C12.706.742
 Occipital Lobe,A08.186.211.730.885.287.500.571
 Pulmonary Heart Disease,C14.280.832
 Marijuana Abuse,C25.775.635
Lipids,D10.570
 Interphase,G04.299.134.500
lesopitron,@191701
 Israel,Z01.252.245.500.375
 Composite Resins,D05.750.716.822.308.300
Genetic Variation,G05.365
 Pulpitis,C07.793.237.820
Pruritus,C13.351.500.944.626
 Caprylates,D02.241.081.222
Dandruff,C17.800.174.146
 Diverticulitis,C06.405.469.158.587.500
Emphysema,C23.550.325.500
Prognosis,E01.789
 Silver Sulfadiazine,D02.065.884.725.755.800
 Radiation,D011838
 Streptococcus mutans,B03.353.750.737.872.875.520
 Nanopores,J01.637.512.650
 Disease Susceptibility,C23.550.291.687
 Salmonella,D20.215.894.135.685
 Minerals,D01.578.725.050.050
 Interpersonal Relations,F01.829.401
 Intestines,A03.556.124
Personality,F01.752.747.917
 Deja Vu,F02.463.425.540.203
Tyramine,D02.092.211.215.811
 Eikenella corrodens,B03.440.450.400.275
 Neurotransmitter Agents,D018377
 Documentation,L01.453.245
 Avalanches,G01.311.340.111
 Personal Autonomy,F02.600
 Thrombosis,C06.405.469.656
 Face,E04.936.450.825.249
 Patient Preference,N04.452.822.700.500
 Welding,J01.576.655.875.400.900
 Isoflurane,D02.355.601.570
 Melaleuca,B01.650.940.800.575.100.773.745
 Scabies,C03.858.211.480.708
 Glycine,D018684
 Health Education,I02.358.556
 Budgets,N03.219.463.060
 Jogging,G11.427.590.530.568.610.320
 Security Measures,N04.452.910
Placenta,C13.703.590.767
Ixodes,B01.050.500.131.166.132.832.400.425
 Cardiovascular Diseases,C14
 Chronic Pain,C10.597.617.196
 Elephants,B01.050.150.900.649.833.249
 Maternal Death,C13.703.401
 Electrodes,E07.305.250.319.381
 Spondylosis,C05.116.900.938
 Osteosarcoma,C04.557.450.565.575.650.655
Computers,L01.224.230.260.315
 Alanine,D08.811.913.477.700.286
 Methicillin Resistance,G06.099.225.500.600.525
 Nuclear Family,F01.829.263.500
 almond oil,@17810
 Roseobacter,B03.440.680
 Polyribonucleotide Nucleotidyltransferase,D08.811.913.696.445.735.532
 Veterinarians,M01.526.485.905
Dactinomycin,D03.494.200
 Expeditions,I03.883.420
 Fruit and Vegetable Juices,G07.203.100.606
 Developing Countries,I01.615.500.300
 Tablets,D26.255.955
 Ribosomes,A11.284.430.214.190.875.811
 Conscience,F01.829.500.359
Tsunamis,G01.311.340.843
 candesartan,@193850
 Biological Processes,G16.100
 Endemic Diseases,N06.850.392
 Abscess,C01.539.830.025.020.455.730
 Cameroon,Z01.058.290.100.110
 Methyl Green,D02.092.146.475
 Methanol,D02.455.426.559.389.185.475
 Lens Plant,B01.650.940.800.575.100.401.450
 Chickenpox,D20.215.894.899.290.130
 Chicory,B01.650.940.800.575.100.100.200
 Betaproteobacteria,B03.660.075
 Pectins,D05.750.078.738
 Alzheimer Disease,C10.228.140.380.100
Fluorides,D01.303.350.300.950
 Capillaries,A15.382.520.301
 Chlorine,C17.800.030.575
Back Pain,C10.597.617.140.400
 Ebolavirus,B04.820.455.300.200
 Phoeniceae,B01.650.940.800.575.100.093.615
 North Carolina,Z01.107.567.875.075.475
Lacrimal Apparatus Diseases,C11.496
 Nebulizers and Vaporizers,E07.605
 Ownership,I01.880.604.583.594
 Railroads,J01.937.690
 Yersinia pestis,B03.440.450.425.900.600
 Haiti,Z01.107.084.900.425
 Tics,C10.597.350.700
 Protein Kinases,D08.811.913.696.620.682.700.125.387
 Air Pollutants,D000396
 Nausea,C23.550.767.859
 Photophobia,C10.597.751.941.661
 Economic Recession,I01.261.425
Neuroaxonal Dystrophies,C10.228.140.744
 Pyelitis,C12.777.419.570.821
 Athletic Performance,I03.450.642.845.054
 Cannabinoids,D02.455.849.090
 Pulse,E01.370.370.680
 myrrh oil,@229742
 pyriproxyfen,@165474
 Bone Marrow Transplantation,E04.936.580.040
 Selective Breeding,E05.820.150.760
 Fetal Death,C13.703.223
 Triticum,D12.776.503.499.968
 Vitamin K 1,D08.811.682.690.708.961
 Accidents,K01.400.504.984.186
 DNA Restriction Enzymes,D08.811.150.280.270
 Archaeology,I01.076.201.208
 Environ,@50824
 Helicobacter,B03.440.500.450
 Cytosine,D08.811.913.555.500.350.100.750
Taste Perception,F02.463.593.817
 potassium hydroxide,D27.720.185
Biological Science Disciplines,H01.158
Anxiety,D014151
 oligofructose,@92943
 Blood Banks,N02.278.065.200
 Halogens,D01.268.380
 Waste Disposal Facilities,N06.850.780.200.800.800.900.449
 Carotid Arteries,A07.231.114.186.200
 Paramyxoviridae Infections,C02.782.580.600
 Ureaplasma urealyticum,B03.440.860.580.553.900.800
 valacyclovir,@46635
 West Virginia,Z01.107.567.875.075.900
 National Health Programs,N03.349.550
 Medical Records,E05.318.308.940.968.249.500
 Elastin,D05.750.078.421
 Speech Recognition Software,L01.224.900.889
 Acquired Immunodeficiency Syndrome,C02.782.815.650
 Cyprus,Z01.542.580.500.300
 Cultural Evolution,I01.076.201.450.370
 Nicaragua,Z01.107.169.690
 Energy Drinks,G07.203.100.512
 Tornadoes,G16.500.750.775.745
Ecology,H01.158.273.248.750
 Oxazolidinones,D03.383.129.462.600
 Weight Loss,N02.370.650
 Delaware,Z01.107.567.875.500.200
 Gastroscopy,E01.370.372.250.250.325
Washington,Z01.107.567.875.560.900
 Cyclonic Storms,G16.500.240.135.500
 Cysteine,D015853
 Hiccup,C23.888.821.578
 Stevia,B01.650.940.800.575.100.100.843
 Inventions,J01.897.400
 Bell Palsy,C02.256.466.087
 Silicones,D02.715.650.700
 Wales,Z01.542.363.914
 Research Report,H01.770.644.864
 Eubacterium,B03.353.625.750
 Bromelains,D08.811.277.656.262.500.096
 Menopause,G08.686.157.500.625
 Marine Biology,H01.158.273.248.750.500
 Perches,B01.050.150.900.493.602.600
 Coronary Artery Disease,C14.280.647.250.260
 Contact Lens Solutions,D26.776.210
 Sambucus,B01.650.940.800.575.100.180.500.500
 Pellagra,C18.654.521.500.133.699.529
International Classification of Diseases,L01.453.245.945.400
 Coronavirus Infections,C02.782.600.550.200
Food Handling,J01.576.423.200
 Michigan,A11.251.210.190.630
 Chitin,D08.811.913.400.450.460.200
 Wool,A13.970
 Product Packaging,J01.576.761
 Adonis,B01.650.940.800.575.100.838.036
 Ophthalmology,H02.403.810.468
 Appendix,A03.556.124.526.356
 Organelles,J01.637.051.479.258
 Prostatic Hyperplasia,C12.294.565.500
 Automobiles,J01.937.500.100
Cough,C10.228.140.546.399
 Talus,A02.835.232.043.300.710.780
 Granuloma Inguinale,C01.252.400.310.416
 Fluticasone,@206914
 Methylprednisolone,D04.808.745.432.769.795.539.500
 Spain,D03.383.725.203.250
 Carnivora,B01.050.150.900.649.147
 Shoulder,C10.668.829.100.500
Staphylococcus,B03.300.390.400.800.750.750
 Tourniquets,E07.926
 Lactoferrin,D08.811.277.656.300.760.471
Risk,E05.581.500.902.500
 Aluminum,E07.632.490.480
 Sulfasalazine,D02.065.884.730
 Peritonitis,C02.782.600.550.200.360
 Georgia,Z01.542.900.420
Water,D014874
Minerals,D01.578.725.050.050
 Vibrio parahaemolyticus,B03.440.450.900.859.550
 Streptococcus,B03.353.750.737.872.260
 Propionates,D02.241.081.751
 Obesity,D019440
 Time,E05.318.760.500.931
 Haplotypes,G05.360.340.024.380.968
 Epidermodysplasia Verruciformis,C02.256.650.810.345
 Peptide Fragments,D12.644.541
 Health Resorts,N06.850.860.410.250
 Pregnant Women,M01.975.807
 Social Media,L01.224.230.110.500.750
Tracheostomy,E02.041.750
 Dental Enamel,G10.549.181
