#../projects/marine/res_1.txt
00000000|Male|C0086582|129927|CT|CT Text Lookup: he;CT Text Lookup: him;CT Text Lookup: men||MM
00000000|Humans|C0086418|129927|CT|CT Text Lookup: men||MM
00000000|*Daughter|C0011011|92721|ET|Entry Term Replacement for "Nuclear Family";RtM via: Daughter;RtM via: Only son|TI|MM|20^8^0;3985^8^0
00000000|*Parents|C0030551|64257|MH|RtM via: parent;Forced Non-Leaf Node Lookup:parents|TI|MM|130^7^0
00000000|*Patient Transfer|C0030704|52899|MH|RtM via: Patient Transfer|TI|MM|5908^21^0
00000000|*Fund|C0016820|55188|ET|Entry Term Replacement for "Financial Management";RtM via: Funds;RtM via: Endowments;Forced Non-Leaf Node Lookup:fund|TI|MM|5217^6^0;4787^4^0;12674^7^0
00000000|*Climate|C0008946|46116|MH|RtM via: Climate;Forced Non-Leaf Node Lookup:climates|TI|MM|12968^7^0;11616^7^0;11475^7^0;11352^7^0;11060^7^0;11230^7^0;10964^7^0;10759^7^0;10599^7^0
00000000|*Weather|C0043085|42057|MH|RtM via: Weather;Forced Non-Leaf Node Lookup:weather|TI|MM|3322^7^0
00000000|*Residential Facilities|C0035186|28533|MH|RtM via: Residential Facilities;Forced Non-Leaf Node Lookup:residential facilities|TI|MM|5186^22^0
00000000|*Nursing Home|C0028688|28485|ET|Entry Term Replacement for "Nursing Homes";RtM via: Nursing Homes;Forced Non-Leaf Node Lookup:nursing homes|TI|MM|4808^12^0
00000000|*Public Policy|C0034033|20961|MH|RtM via: Public Policy;Forced Non-Leaf Node Lookup:public policy|TI|MM|6175^13^0
00000000|*Rooms, Emergency|C0562508|20952|ET|Entry Term Replacement for "Emergency Service, Hospital";RtM via: Accident and Emergency department;Forced Non-Leaf Node Lookup:emergency rooms|TI|MM|5504^15^0
00000000|*Rash|C0015230|9303|ET|Entry Term Replacement for "Exanthema";RtM via: Exanthema;Forced Non-Leaf Node Lookup:rash|TI|MM|3010^4^0;2751^4^0
00000000|*Home Care|C0204977|7776|ET|Entry Term Replacement for "Home Care Services";RtM via: Home care of patient;Forced Non-Leaf Node Lookup:home care|TI|MM|6421^9^0;5971^9^0
00000000|Bandages|C0004726|1000|MH|Forced Non-Leaf Node Lookup:dressings||MM|11761^8^0
00000000|Hypersensitivity|C0020517|1000|MH|Forced Non-Leaf Node Lookup:allergy||MM|2796^7^0
00000000|Victoria|C0042645|12|MH|RtM via: Victoria Austrailia|TI|MM|8431^8^0
00000000|economics|C0013557|1111|SH|N03.219.702 (Investments)|TI|MM
#../projects/marine/res_11.txt
00000000|Adolescent|C0205653|341197|CT|CT Text Lookup: adolescent;CT Text Lookup: adolescents||MM
00000000|Humans|C0086418|341197|CT|CT Text Lookup: adolescent;CT Text Lookup: adolescents;CT Text Lookup: baby;CT Text Lookup: child;CT Text Lookup: children||MM
00000000|Infant|C0021270|341197|CT|CT Text Lookup: babies;CT Text Lookup: baby||MM
00000000|Female|C0015780|341197|CT|CT Text Lookup: bitch;CT Text Lookup: her;CT Text Lookup: she;CT Text Lookup: sister||MM
00000000|Child|C0008059|341197|CT|CT Text Lookup: child;CT Text Lookup: children||MM
00000000|Male|C0086582|341197|CT|CT Text Lookup: him||MM
00000000|Cats|C0007450|341197|CT|RtM via: Felis catus;CT Text Lookup: cat|TI|MM|865^4^0
00000000|Animals|C0003062|341197|CT|RtM via: Mus;Chickens;CT Treecode Lookup: B01.050.150.900.248 (Chickens);CT Text Lookup: bitch;CT Text Lookup: cat;CT Text Lookup: dog;CT Text Lookup: mouse;RtM via: Mus;Chickens;CT Treecode Lookup: B01.050.150.900.248 (Chickens);CT Text Lookup: bitch;CT TeRtM via: Canis familiaris;CT Text Lookup: bitch;CT Text Lookup: dog|TI|MM|9796^5^0;9634^5^0;9747^5^0
00000000|Dogs|C0012984|341197|CT|RtM via: Canis familiaris;CT Text Lookup: bitch;CT Text Lookup: dog|TI|MM|8921^3^0
00000000|Mice|C0026809|341197|CT|RtM via: Mus;CT Text Lookup: mouse|TI|MM|9796^5^0;9634^5^0;9747^5^0
00000000|Child, Preschool|C0008100|341197|CT|RtM via: Toddler (age group)|TI|MM|10780^7^0;3718^8^0
00000000|*Lavandula|C0524903|340197|MH|RtM via: Lavandula;RtM via: Lavandula angustifolia;Forced Leaf Node Lookup:lavenders;checkForceMH Boosted|TI|MM|7811^8^0
00000000|*Influenza Vaccines|C0021403|335502|MH|RtM via: Influenza virus vaccine;RtM via: trivalent influenza vaccine;Forced Leaf Node Lookup:flu vaccines;checkForceMH Boosted|TI|MM|8985^11^0;8728^11^0;8675^11^0;8511^9^0;8404^11^0;8463^11^0;8085^11^0;7981^11^0;2495^9^0;2027^9^0;2873^9^0;2925^8^0;2390^8^0
00000000|*Mentha piperita|C0697157|250986|MH|RtM via: Mentha piperita;Forced Leaf Node Lookup:peppermints;checkForceMH Boosted|TI|MM|7849^10^0
00000000|*Ginger|C1879327|197991|MH|RtM via: Zingiber officinale;RtM via: Ginger (dietary);Forced Leaf Node Lookup:gingers;checkForceMH Boosted|TI|MM|7445^6^0
00000000|*Seasons|C0036497|194034|MH|RtM via: Seasons;RtM via: winter;Forced Leaf Node Lookup:seasons|TI|MM|8040^6^0;2473^7^0;1549^6^0;1059^6^0
00000000|*Influenza, Human|C0021400|182229|MH|RtM via: Influenza;RtM via: Influenza due to Influenza A virus subtype H1N1;Forced Leaf Node Lookup:influenza|TI|MM|9375^3^0;9107^3^0;8803^3^0;8655^3^0;8595^3^0;8511^9^0;8503^3^0;8036^3^0;7926^3^0;6788^3^0;3193^3^0;3086^3^0;3169^3^0;3026^3^0;2757^3^0;2495^9^0;2027^9^0;1545^3^0;1267^3^0;1209^3^0;1082^3^0;943^3^0;2216^14^0;1429^9^0;2221^9^0
00000000|*Spouses|C0162409|180927|MH|RtM via: wife;RtM via: husband;Forced Leaf Node Lookup:husbands;Forced Leaf Node Lookup:wife|TI|MM|1189^4^0;5769^7^0;5316^7^0;4434^7^0;4299^7^0;3825^7^0;3488^7^0
00000000|*Jasminum|C1095813|167328|MH|RtM via: Jasminum;RtM via: Jasminum officinale;Forced Leaf Node Lookup:jasmines;checkForceMH Boosted|TI|MM|7453^7^0
00000000|*Coffee|C0009237|162930|MH|RtM via: Coffee;Forced Leaf Node Lookup:coffee;checkForceMH Boosted|TI|MM|7180^6^0
00000000|*Chickens|C0008051|162447|MH|RtM via: Chickens;Forced Leaf Node Lookup:chickens;checkForceMH Boosted|TI|MM|7385^7^0
00000000|*Laxatives|C0282090|159960|MH|RtM via: Laxatives;Forced Leaf Node Lookup:laxatives;checkForceMH Boosted|TI|MM|5124^8^0;5099^8^0
00000000|*Mercury|C0025424|156939|MH|RtM via: Mercury;Forced Leaf Node Lookup:mercury;checkForceMH Boosted|TI|MM|2852^7^0
00000000|*Ice|C0020746|151536|MH|Forced Leaf Node Lookup:ice;checkForceMH Boosted|TI|MM|4988^3^0;5065^3^0;5197^3^0
00000000|*Influenza A Virus, H1N1 Subtype|C1615607|151536|MH|Forced Lookup:h1n1;checkForceMH Boosted|TI|MM|2216^4^0;2273^4^0
00000000|*Parenting|C0085092|145413|MH|RtM via: Parenting behavior;Forced Leaf Node Lookup:parenting|TI|MM|10825^9^0
00000000|*Mothers|C0026591|127269|MH|RtM via: Mother (person);Forced Leaf Node Lookup:mothers|TI|MM|4696^6^0;4367^6^0;4054^6^0
00000000|*Love|C0024028|122931|MH|RtM via: Love;Forced Leaf Node Lookup:love|TI|MM|7687^4^0;1000^4^0
00000000|*Siblings|C0037047|119778|MH|RtM via: Sister;Forced Leaf Node Lookup:sister|TI|MM|10407^6^0
00000000|*Cold Temperature|C0009264|113988|MH|RtM via: Cold Temperature;Forced Leaf Node Lookup:cold|TI|MM|4815^4^0;4800^4^0;3256^4^0
00000000|*Seizures|C0036572|109260|MH|RtM via: Seizures;Forced Leaf Node Lookup:convulsions|TI|MM|2169^11^0
00000000|*Sneezing|C0037383|106518|MH|RtM via: Sneezing;Forced Leaf Node Lookup:sneezings|TI|MM|8574^8^0
00000000|*Essential Oils|C0028910|103581|ET|Entry Term Replacement for "Oils, Volatile";RtM via: Oils, Volatile;RtM via: Lavender extract;RtM via: Zingiber officinale, homeopathic preparation;checkForceMH Boosted;Forced Non-Leaf Node Lookup:essential oils|TI|MM|7708^14^0;7531^13^0;7811^8^0;7445^6^0
00000000|*Sunlight|C0038817|103278|MH|RtM via: Sunlight;Forced Leaf Node Lookup:sunshine|TI|MM|7756^8^0
00000000|*Holidays|C0019843|99123|MH|RtM via: Holidays;Forced Leaf Node Lookup:holidays|TI|MM|5744^7^0
00000000|*Accidental Falls|C0000921|93798|MH|RtM via: Accidental Falls;RtM via: Falls;Forced Leaf Node Lookup:falling|TI|MM|3584^7^0
00000000|*Smoke|C0037366|92283|MH|RtM via: Smoke;RtM via: Tobacco smoke;checkForceMH Boosted;Forced Non-Leaf Node Lookup:smokes|TI|MM|6669^5^0
00000000|*Hot Temperature|C2350229|87027|MH|RtM via: Heat (physical force);Forced Leaf Node Lookup:heat|TI|MM|3608^4^0
00000000|*Earthquakes|C0013463|83958|MH|RtM via: Earthquakes;Forced Leaf Node Lookup:earthquakes|TI|MM|6626^10^0
00000000|*Rivers|C0337050|82842|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|9814^5^0
00000000|Idaho|C0020787|82758|MH|RtM via: Idaho (geographic location);Forced Leaf Node Lookup:idaho|TI|MM|10599^5^0
00000000|Washington|C0043038|82758|MH|RtM via: Washington state;Forced Leaf Node Lookup:washington|TI|MM|10660^10^0
00000000|*Pharynx|C0031354|81969|MH|RtM via: Pharyngeal structure;Forced Leaf Node Lookup:throat|TI|MM|4184^6^0
00000000|Cambodia|C0006797|79185|MH|RtM via: Cambodia;Forced Leaf Node Lookup:cambodia|TI|MM|299^8^0
00000000|Thailand|C0039725|79185|MH|RtM via: Thailand;Forced Leaf Node Lookup:thailand|TI;Geo Lookup:bangkoks|MM|286^8^0
00000000|*Orange|C0440277|78690|ET|Entry Term Replacement for "Citrus sinensis";RtM via: Orange (fruit);checkForceMH Boosted|TI|MM|7461^6^0
00000000|*Neurosurgeons|C0237427|75780|MH|RtM via: Neurosurgeon;Forced New Lookup:neurosurgeon|TI|MM|2564^12^0
00000000|Berlin|C0005125|75774|MH|RtM via: City of Berlin;Forced Leaf Node Lookup:berlin|TI|MM|769^6^0;427^6^0
00000000|*Vaccinations|C0042196|107964|ET|Entry Term Replacement for "Vaccination";RtM via: Vaccination;RtM via: Influenza vaccination;Forced Non-Leaf Node Lookup:vaccinations|TI|MM|2191^12^0;2723^16^0;1776^16^0;1896^16^0;1429^21^0
00000000|*Meals|C1998602|100431|MH|RtM via: Supper;RtM via: Meal (occasion for eating)|TI|MM|4895^6^0;4874^6^0;7016^5^0
00000000|*Vomiting|C0042963|63876|MH|RtM via: Vomiting;Forced Non-Leaf Node Lookup:vomiting|TI|MM|8912^8^0;8814^8^0;8631^8^0;8612^8^0
00000000|*Narcolepsy|C0027404|57507|MH|RtM via: Narcolepsy;Forced Non-Leaf Node Lookup:narcolepsy|TI|MM|2331^10^0
00000000|*Disease Outbreaks|C0012652|28338|MH|RtM via: Disease Outbreaks;Forced Non-Leaf Node Lookup:outbreaks|TI|MM|5801^8^0
00000000|*Pneumonia|C0032285|18864|MH|RtM via: Pneumonia;Forced Non-Leaf Node Lookup:pneumonias|TI|MM|8584^9^0
00000000|*Internet|C0282111|12762|MH|RtM via: Internet;Forced Non-Leaf Node Lookup:internets|TI|MM|891^8^0;114^8^0
00000000|*Nebulizer|C0027524|6564|ET|Entry Term Replacement for "Nebulizers and Vaporizers";RtM via: Nebulizers;Forced Non-Leaf Node Lookup:nebulizers|TI|MM|7511^9^0
00000000|*Immune System|C0020962|5319|MH|RtM via: Immune system;Forced Non-Leaf Node Lookup:immune systems|TI|MM|3130^13^0
00000000|*Diabetes Mellitus|C0011849|1902|MH|RtM via: diabetic;Forced Non-Leaf Node Lookup:diabetic|TI|MM|5188^8^0;5056^8^0
00000000|Cognition|C0009240|1000|MH|Forced Non-Leaf Node Lookup:cognitive||MM|8353^9^0
00000000|Stomach|C0038351|1000|MH|Forced Non-Leaf Node Lookup:stomachs||MM|5906^7^0
00000000|Tea|C0039400|1000|MH|Forced Non-Leaf Node Lookup:tea||MM|7370^3^0;7487^3^0
00000000|Australia|C0004340|1000|MH|Geo Lookup:australians||MM
#../projects/marine/res_12.txt
00000000|Animals|C0003062|2093011|CT|Ferrets;CT Treecode Lookup: B01.050.150.900.649.147 (Ferrets)||MM;RC
00000000|Humans|C0086418|2093011|CT|Influenza, Human;CT Treecode Lookup: C02.782.620.365 (Influenza, Human);Influenza, Human;CT Treecode Lookup: C08.730.310 (Influenza, Human);CT Text Lookup: human;CT Text Lookup: humans||MM;RC
00000000|Female|C0015780|2093011|CT|CT Text Lookup: her;CT Text Lookup: she||MM;RC
00000000|United States|C0041703|2093011|CT|Forced Leaf Node Lookup:american|TI|MM|12753^8^0
00000000|Swine|C0039005|2093011|CT|RtM via: Family suidae;RtM via: Subfamily Suinae|TI|MM;RC|11301^4^0;11347^5^0;10957^4^0;8965^4^0;8626^4^0;8355^4^0;4630^4^0;4560^4^0;4475^4^0;4005^4^0;2877^4^0;7513^3^0
00000000|*Influenza Vaccines|C0021403|2092011|MH|RtM via: Influenza virus vaccine;RtM via: Swine influenza virus vaccine;Forced Leaf Node Lookup:influenza virus vaccines;Forced Leaf Node Lookup:influenza vaccines;Forced Leaf Node Lookup:flu vaccines;checkForceMH Boosted|TI|MM;RC|13019^15^1;13061^8^1;12898^15^1;12940^8^1;12597^9^0;12030^9^0;11863^9^0;11675^24^0;11527^9^0;10997^9^0;10820^12^0;9835^11^0;9613^11^0;8895^3^1;8904^7^1;8303^11^0;7616^11^0;7116^11^0;6840^11^0;4657^3^1;4669^8^1;2643^9^0;2765^9^0;2719^17^0;12197^18^0;7458^12^0
00000000|*Hemagglutinins|C0018909|1472097|MH|RtM via: Hemagglutinin;Forced Leaf Node Lookup:haemagglutinins;Forced Leaf Node Lookup:hemagglutinins;checkForceMH Boosted|TI|MM;RC|13035^13^0;12914^13^0;12609^14^0;11875^14^0;10580^2^0;10255^2^0;10210^2^0;10096^2^0;10133^2^0;9151^2^0;9296^2^0;9256^2^0;9476^2^0;9008^2^0;8491^2^0;8130^2^0;7171^2^0;6892^2^0;6963^2^0;7045^2^0;6778^2^0;6685^2^0;6557^2^0;6402^2^0;6303^2^0;6217^2^0;6092^2^0;5260^2^0;5150^2^0;5034^2^0;4799^2^0;4217^2^0;3678^2^0;3579^2^0;3616^2^0;3357^2^0;3332^2^0;3147^2^0;3178^2^0;3260^2^0;2781^14^0
00000000|*Influenza A Virus, H1N1 Subtype|C1615607|1213725|MH|RtM via: Orthomyxovirus Type A, Porcine;Forced Lookup:h1n1;checkForceMH Boosted|TI|MM;RC|12720^23^0;11276^21^0;3078^4^0;7652^4^0;11353^4^0
00000000|*Antibodies, Neutralizing|C0475463|1188756|MH|RtM via: Antibodies, Neutralizing;Forced Leaf Node Lookup:neutralizing antibody;checkForceMH Boosted|TI|MM;RC|12514^21^0;11780^21^0;10746^21^0
00000000|*Ferrets|C0015859|1103727|MH|RtM via: Ferrets;Forced Leaf Node Lookup:ferrets;checkForceMH Boosted|TI|MM;RC|13073^7^0;12952^7^0;8974^7^0;8543^6^0;8580^7^0;8335^7^0;8326^7^0
